Gender,Occupation,Education,Home Ownership,Having Money / Jewelry / Livestock / Other Savings,Roof Type,Wall Type,Floor Type,Source of Lighting,Cooking Fuel,Source of Drinking Water,Have Defecation facilities,Beneficiaries,Stunting Risk
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Menumpang,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Ya,1
Perempuan,Wiraswasta,Tamat SD/sederajat,Kontrak/Sewa,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Pedagang,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi > 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Perempuan,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Tidak,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pegawai Swasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Tidak,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Menumpang,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Menumpang,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Pensiunan,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Pekerja Lepas,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pensiunan,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pedagang,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pensiunan,Mahasiswa Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pensiunan,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Menumpang,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pegawai Swasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Petani,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,1
Perempuan,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tidak/belum sekolah,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pegawai Swasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pegawai Swasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pegawai Swasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pegawai Swasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Pekerja Lepas,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pensiunan,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pekerja Lepas,Tamat SMA/sederajat,Menumpang,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pekerja Lepas,Tamat SMA/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Menumpang,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Pensiunan,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pensiunan,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Menumpang,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pekerja Lepas,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Pedagang,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Tidak/belum bekerja,Mahasiswa Perguruan Tinggi,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi > 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Perempuan,Tidak/belum bekerja,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Menumpang,Tidak,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Perempuan,Pedagang,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Kontrak/Sewa,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Ledeng/PAM,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Semen,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Tidak/belum bekerja,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Beton,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi > 900 Watt,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pensiunan,Tamat SMA/sederajat,Milik Sendiri,Ya,Genteng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Pribadi s/d 900 Watt,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
